1,Body.Weight,Fat.Intake,Carb.Intake,Protein.Intake,Total.Calories
2,190,87,200,202,2391
3,188.6,99,200,199,2487
4,187.4,91,201,204,2439
5,186.4,90,228,200,2522
6,185.6,84,232,199,2480
7,187.2,69,139,137,1725
8,188.4,91,254,205,2655
9,190.6,91,250,201,2623
10,190,93,253,200,2649
11,189,95,251,206,2683
12,187,85,253,201,2581
13,184.4,89,275,204,2717
14,189,165,300,203,3497
15,191.2,103,276,199,2827
16,193.8,94,279,203,2774
17,188.4,94,282,201,2778
18,187,92,274,197,2712
19,187,98,295,202,2870
20,187.6,128,298,181,3068
21,187.6,91,298,153,2623
22,187.7,55,175,102,1603
23,187.7,88,330,200,2912
24,187.6,84,317,205,2844
25,188,93,314,200,2893
26,188.4,94,317,198,2906
27,188,90,315,202,2878
28,188.8,107,309,205,3019
29,188.8,89,346,198,2977
30,192.2,88,342,199,2956
31,188.6,88,342,223,3052
32,188.8,90,341,226,3078
33,189,89,349,225,3097
34,189,90,360,224,3146
35,190.2,135,394,158,3423
36,191.2,67,361,226,2951
37,191.8,86,358,228,3118
38,189.6,92,345,228,3120
39,190.2,108,356,236,3340
40,190.4,88,360,226,3136
41,191,90,359,227,3154
42,191.5,91,358,225,3151
43,192,118,360,201,3306
44,191,89,385,226,3245
45,190.2,65,384,226,3025
46,191.4,83,386,225,3191
47,191,83,385,225,3187
48,189.6,89,398,227,3301
49,190.4,117,497,223,3933
50,194.2,110,352,177,3106
51,193.8,88,400,224,3288
52,191.4,92,402,223,3328
53,192.2,90,401,225,3314
54,192.2,89,402,231,3333
55,191.6,88,203,223,2496
56,191.4,93,429,227,3461
57,192.4,88,398,224,3280
58,191.8,86,401,224,3274
59,190,85,425,224,3361
60,190.8,91,429,226,3439
61,190.4,90,424,225,3406
62,190,18,143,76,1038
63,191.4,57,364,130,2489
64,192.8,86,424,226,3374
65,193,89,424,227,3405
66,194,88,425,224,3388
67,192.6,88,423,224,3380
68,191.4,91,422,224,3403
69,193.4,77,250,137,2241
70,191.4,133,466,183,3793
71,193.4,104,388,199,3284
72,191.8,87,422,222,3359
73,194.2,88,427,225,3400
74,193.4,87,427,227,3399
75,191.4,39,296,94,1911
76,192,80,424,225,3316
77,192.6,68,192,120,1860
78,192.6,87,426,224,3383
79,192,89,418,223,3365
80,191,87,430,225,3403
81,192,90,428,218,3394
82,194,80,227,118,2100
83,194,46,158,85,1386
84,192.4,89,424,229,3413
85,194,91,424,223,3407
86,194,86,422,221,3346
87,193.4,87,424,226,3383
88,193,89,423,226,3397
89,196,88,427,224,3396
90,192.4,104,346,150,2920
91,195.8,80,243,89,2048
92,198.4,88,430,223,3404
93,194.2,66,300,231,2718
94,194.2,68,303,230,2744
95,192.4,67,300,230,2723
96,194,59,450,211,3175
97,193.8,70,299,230,2746
98,195.8,70,300,228,2742
99,195,72,296,231,2756
100,193.4,67,303,229,2731
101,193,69,298,230,2733
102,191.4,109,426,224,3581
103,196.4,72,302,230,2776
104,197,70,301,230,2754
105,195.6,70,301,230,2754
106,194.6,96,304,226,2984
107,196.8,69,298,233,2745
108,195.4,71,301,229,2759
109,193.2,71,327,230,2867
110,194.4,69,302,230,2749
111,193.8,57,249,229,2425
112,194.2,68,252,233,2552
113,196,74,248,299,2854
114,192.6,29,69,73,829
115,195.2,38,75,95,1022
116,194.6,67,252,231,2535
117,194,62,261,232,2530
118,192.4,102,134,77,1762
119,195.2,143,237,142,2803
120,197.6,79,250,166,2375
121,199.2,60,252,230,2468
122,198.2,59,250,230,2451
123,195.8,59,251,229,2451
124,194.8,61,256,230,2493
125,192.2,58,248,229,2430
126,194.6,46,250,233,2346
127,194.4,53,250,230,2397
128,194.4,48,249,230,2348
129,194,49,250,230,2361
130,196,49,252,229,2365
131,193.8,42,250,228,2290
132,193.4,56,248,229,2412
133,194.2,51,251,233,2395
134,197.4,49,199,232,2165
135,193.4,50,201,232,2182
136,192.8,52,202,231,2200
137,191.8,48,201,231,2160
138,190.2,51,300,211,2503
139,190.6,61,253,220,2441
140,194.2,53,201,292,2449
141,191.8,48,199,233,2160
142,190.8,55,305,206,2539
143,190.6,51,202,228,2179
144,189.6,50,201,231,2178
145,188.8,49,208,230,2193
146,189.8,71,396,214,3079
147,192.6,47,201,231,2151
148,191.8,53,201,236,2225
149,190.2,52,200,228,2180
150,189,53,251,209,2317
151,187.8,51,148,232,1979
152,186.6,51,148,230,1971
153,185.8,52,162,231,2040
154,186.2,95,237,197,2591
155,187.2,47,147,229,1927
156,187.8,53,152,233,2017
157,186.8,51,150,228,1971
158,184.4,63,276,324,2967
159,184,45,232,150,1933
160,183.4,53,153,230,2009
161,183.6,53,159,230,2033
162,183.6,52,250,212,2316
163,183.6,50,149,227,1954
164,182.2,48,152,229,1956
165,181,48,215,228,2204
166,182.6,87,117,201,2055
167,183.2,60,147,230,2048
168,185.2,45,114,228,1773
169,183,52,147,231,1980
170,181.6,48,250,208,2264
171,181,53,152,240,2045
172,180.4,53,152,229,2001
173,180.6,48,153,231,1968
174,180.4,56,249,207,2328
175,179.2,47,155,183,1775
176,180.4,53,146,223,1953
177,180,47,148,232,1943
178,178.4,46,167,199,1878
179,178.8,60,239,172,2184
180,182,101,383,240,3401
181,182.4,53,178,183,1921
182,185.4,71,154,203,2067
183,184,51,154,210,1915
184,182,52,145,231,1972
185,180,55,149,231,2015
186,179,50,153,229,1978
187,178,52,153,232,2008
188,177.2,67,213,218,2327
189,178.4,146,356,187,3486
190,181.4,44,144,231,1896
191,179.2,46,140,230,1894
192,178.8,50,151,230,1974
193,177.4,64,160,206,2040
194,177.6,32,112,217,1604
195,176,147,295,170,3183
196,180,54,151,231,2014
197,181.2,48,153,230,1964
198,177.4,53,145,228,1969
199,176.8,81,207,242,2525
200,177.4,52,163,229,2036
201,176,29,102,213,1521
202,175.4,29,117,230,1649
203,178.2,107,206,203,2599
204,181,53,153,232,2017
205,178.2,51,166,229,2039
206,177,49,152,231,1973
207,175,51,150,231,1983
208,174.2,91,232,236,2691
209,175.6,52,118,118,1412
210,175,67,205,231,2347
211,178,47,204,229,2155
212,175.8,47,196,234,2143
213,174.4,62,194,225,2234
214,175.4,57,199,231,2233
215,175.4,95,221,247,2727
216,176.2,57,201,231,2241
217,178.4,60,208,234,2308
218,176.2,60,201,232,2272
219,176.4,60,232,231,2392
220,176.4,63,224,231,2387
221,176.4,59,238,232,2411
222,176.4,106,318,219,3102
223,178.2,77,281,161,2461
224,178,44,251,230,2320
225,177,62,252,233,2498
226,175.4,58,247,229,2426
227,175.4,36,215,177,1892
228,176.4,73,211,228,2413
229,176.4,59,204,167,2015
230,175.8,112,356,214,3288
231,179.8,63,262,229,2531
232,180,62,249,231,2478
233,177,65,274,229,2597
234,176.4,63,233,149,2095
235,173.4,66,269,236,2614
236,176.4,65,309,173,2513
237,177.6,101,251,162,2561
238,174,67,242,231,2495
239,177.4,66,301,230,2718
240,177.4,64,265,228,2548
241,179.6,67,265,231,2587
242,176.4,67,293,228,2687
243,176.4,67,291,232,"2,695"
244,178,80,227,190,"2,388"
